rango,mapa_Abyss,mapa_Ascent,mapa_Bind,mapa_Breeze,mapa_Corrode,mapa_Fracture,mapa_Haven,mapa_Icebox,mapa_Lotus,mapa_Pearl,mapa_Split,mapa_Sunset,mapa_Summit,id_partida,kills,asistencias,muertes,headshots,subrango,acs,fb,fd,racha,rondas_ganadas,rondas_perdidas,es_main,num_amigos,desconocidos
5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,6887a0ef-25d5-4a5e-b98a-e1aa5be29e21,15.0,10.0,19.0,13.0,3.0,182.321,4.0,3.0,1.0,15.0,13.0,0.0,1.0,3.0
5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,ab8fb01d-d149-400e-bcb7-b2e25c8ee7fd,18.0,3.0,18.0,11.0,3.0,272.4,5.0,3.0,0.0,7.0,13.0,1.0,1.0,3.0
5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,c7ec53aa-c5f3-458c-b7a4-87af16e75356,12.0,6.0,19.0,8.0,3.0,181.136,7.0,6.0,1.0,13.0,9.0,1.0,0.0,4.0
5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,5f00af97-baf3-421d-87f3-05b669df570d,9.0,2.0,9.0,6.0,3.0,181.867,3.0,0.0,0.0,2.0,7.0,1.0,0.0,4.0
5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,c5e18656-bbfb-4fba-8a1c-5064983953e6,19.0,6.0,12.0,11.0,3.0,271.9,4.0,1.0,1.0,13.0,7.0,0.0,0.0,4.0
5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,aab7dd37-d979-435f-ac38-37f3d0a3b010,22.0,5.0,17.0,19.0,3.0,278.565,5.0,1.0,0.0,10.0,13.0,0.0,0.0,4.0
5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,ac6a614c-0016-484d-9422-9c30663210d2,11.0,1.0,15.0,8.0,3.0,197.176,2.0,4.0,0.0,4.0,13.0,1.0,0.0,4.0
5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,df187d36-e337-4883-a88d-1a3a9d6aff42,13.0,6.0,15.0,7.0,3.0,221.833,1.0,0.0,0.0,5.0,13.0,1.0,0.0,4.0
5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,28ee867e-2e05-4733-85af-b868213779a8,21.0,8.0,17.0,18.0,3.0,281.0,3.0,0.0,1.0,13.0,9.0,0.0,0.0,4.0
5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,18612531-b010-47bd-8db9-69e520857776,16.0,5.0,21.0,11.0,3.0,195.913,6.0,2.0,1.0,13.0,10.0,0.0,3.0,1.0
5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,50e1e1df-7d50-44e3-8a7e-1f4a2fcc44ce,16.0,8.0,17.0,13.0,3.0,210.625,5.0,1.0,2.0,13.0,11.0,1.0,3.0,1.0
5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,d8b570ac-17a8-40fe-81fc-ab9c4c97863d,16.0,2.0,11.0,9.0,3.0,257.294,5.0,1.0,2.0,13.0,4.0,0.0,0.0,4.0
5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,f4897cb9-dfd4-461b-8819-e9dfafbba9c6,11.0,7.0,15.0,10.0,3.0,201.526,0.0,0.0,0.0,6.0,13.0,0.0,0.0,4.0
5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,4e24a733-08d4-4b47-9ad5-e33822751ba5,17.0,6.0,20.0,13.0,3.0,205.269,5.0,4.0,0.0,12.0,14.0,1.0,0.0,4.0
5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,5976fe2b-56f4-4957-81b2-9edc8080846e,28.0,12.0,23.0,19.0,3.0,295.536,5.0,2.0,1.0,14.0,14.0,0.0,0.0,4.0
5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,8389231e-8b49-4874-86de-54b9c71e110d,25.0,4.0,18.0,22.0,3.0,292.25,5.0,2.0,1.0,13.0,11.0,1.0,1.0,3.0
5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,a2abbcc9-6d54-4e48-a325-9ea6b5cf5b21,13.0,1.0,19.0,7.0,3.0,181.875,5.0,3.0,2.0,13.0,11.0,0.0,0.0,4.0
5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,62041631-9f06-4173-9c33-96356d204069,10.0,2.0,17.0,6.0,3.0,131.85,2.0,5.0,0.0,7.0,13.0,0.0,1.0,3.0
5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,c999d7da-4684-45d9-8614-57db6d6c2847,16.0,4.0,14.0,12.0,3.0,232.0,5.0,4.0,1.0,13.0,8.0,1.0,1.0,3.0
5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,b2d831a8-9ac6-4a0b-9823-b9ad0ef3e23b,9.0,3.0,20.0,5.0,3.0,98.696,0.0,6.0,0.0,10.0,13.0,1.0,1.0,3.0
5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,31cf468e-10b4-4b5b-821f-9e5dd6afb47b,7.0,4.0,15.0,8.0,3.0,110.824,0.0,4.0,0.0,4.0,13.0,0.0,1.0,3.0
5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0a034114-4073-4bdc-bd44-214a6a552db4,18.0,3.0,13.0,12.0,3.0,214.524,2.0,5.0,1.0,13.0,8.0,0.0,1.0,3.0
5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,d8a3dcf5-4a77-40a7-9ef5-9b72474a7689,23.0,6.0,15.0,16.0,3.0,298.435,6.0,2.0,2.0,13.0,10.0,1.0,0.0,4.0
5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,ff91128f-9221-479f-9af2-ef46e7d4ef0d,10.0,2.0,15.0,9.0,3.0,186.688,0.0,2.0,0.0,3.0,13.0,1.0,0.0,4.0
5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,428ae3b1-f8b7-4635-9ce0-bcdf1acce50f,19.0,2.0,17.0,13.0,2.0,269.0,3.0,3.0,0.0,7.0,13.0,1.0,0.0,4.0
5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,ea3e4ad1-0f05-4604-b4f3-5bf5922f071b,8.0,1.0,15.0,6.0,2.0,170.125,3.0,3.0,0.0,3.0,13.0,1.0,1.0,3.0
5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,dbeab98f-102e-4f95-9f84-a522c24657b8,0.0,2.0,6.0,0.0,3.0,14.733,0.0,3.0,0.0,2.0,4.0,1.0,1.0,3.0
5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,d5ec1d56-cc5b-446c-b561-db593a089c67,14.0,4.0,15.0,12.0,3.0,206.05,2.0,5.0,0.0,7.0,13.0,0.0,0.0,4.0
5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,18fb8eed-f3e8-4e8e-b39b-31b81b279dc5,16.0,0.0,13.0,12.0,3.0,199.381,2.0,1.0,1.0,13.0,8.0,0.0,0.0,4.0
