rango,mapa_Abyss,mapa_Ascent,mapa_Bind,mapa_Breeze,mapa_Corrode,mapa_Fracture,mapa_Haven,mapa_Icebox,mapa_Lotus,mapa_Pearl,mapa_Split,mapa_Sunset,mapa_Summit,id_partida,kills,asistencias,muertes,headshots,subrango,acs,fb,fd,racha,rondas_ganadas,rondas_perdidas,es_main,num_amigos,desconocidos
5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3abc8299-0fd2-4480-b9aa-4a5c2492b6f6,16.0,3.0,13.0,10.0,3.0,193.591,3.0,4.0,1.0,13.0,9.0,1.0,1.0,3.0
5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,eb701524-28f9-42f6-afb7-31513486d5a8,21.0,7.0,19.0,19.0,3.0,256.542,4.0,2.0,0.0,11.0,13.0,0.0,1.0,3.0
5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,82ab8458-b655-4d15-afbc-079826936df0,12.0,1.0,20.0,8.0,3.0,165.864,4.0,2.0,0.0,9.0,13.0,1.0,1.0,3.0
5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5d98db81-fd46-4b99-b758-879d33c737ef,23.0,2.0,17.0,13.0,3.0,232.885,2.0,1.0,1.0,14.0,12.0,0.0,1.0,3.0
6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,32be6ea9-89ea-406e-9d4c-df8230795197,21.0,4.0,18.0,14.0,1.0,212.964,2.0,1.0,1.0,15.0,13.0,1.0,1.0,3.0
6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26f95c48-8d7b-49b1-871a-babab7a184f9,14.0,4.0,13.0,11.0,1.0,252.438,1.0,2.0,0.0,3.0,13.0,0.0,1.0,3.0
6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0cdd600f-a5ed-471d-a074-add31096aae4,14.0,3.0,17.0,11.0,1.0,199.2,3.0,4.0,0.0,7.0,13.0,0.0,2.0,2.0
5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,c6bed165-9c7c-4f01-84c9-3324f3ed194f,12.0,5.0,17.0,8.0,3.0,166.348,4.0,3.0,1.0,13.0,10.0,1.0,1.0,3.0
5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1435bad2-97eb-44ce-9bc5-3b2f2cbe59d3,22.0,3.0,16.0,15.0,3.0,251.667,2.0,1.0,2.0,13.0,11.0,1.0,1.0,3.0
6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5c6725e4-284d-499e-a8fa-894752df79db,14.0,4.0,17.0,13.0,1.0,204.143,0.0,5.0,0.0,8.0,13.0,1.0,1.0,3.0
6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,aa4e77b4-a2e0-4012-8293-235ab2afde1a,13.0,1.0,14.0,7.0,1.0,204.353,2.0,1.0,0.0,4.0,13.0,1.0,2.0,2.0
6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,b764cb0e-adbe-4120-8156-d7cdd60c805b,19.0,2.0,19.0,15.0,1.0,236.667,5.0,2.0,0.0,11.0,13.0,1.0,2.0,2.0
