rango,mapa_Abyss,mapa_Ascent,mapa_Bind,mapa_Breeze,mapa_Corrode,mapa_Fracture,mapa_Haven,mapa_Icebox,mapa_Lotus,mapa_Pearl,mapa_Split,mapa_Sunset,mapa_Summit,id_partida,kills,asistencias,muertes,headshots,subrango,acs,fb,fd,racha,rondas_ganadas,rondas_perdidas,es_main,num_amigos,desconocidos
7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,5cffd4e0-098c-4a9d-826d-346791abdf9a,19.0,0.0,7.0,15.0,3.0,275.824,0.0,1.0,1.0,13.0,4.0,0.0,0.0,4.0
7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,07a0abb0-ec09-4e5a-b4de-ce90cfd1c831,13.0,6.0,18.0,12.0,3.0,162.038,0.0,0.0,0.0,12.0,14.0,1.0,2.0,2.0
7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,70279999-6745-4eaf-8a8a-d070e8dcf49c,10.0,4.0,10.0,8.0,3.0,170.588,1.0,0.0,1.0,13.0,4.0,0.0,0.0,4.0
7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0cc82d00-b76f-4c19-8e18-ca73ce24582f,15.0,8.0,15.0,13.0,3.0,225.286,1.0,1.0,0.0,8.0,13.0,1.0,0.0,4.0
7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,4ccb2729-1c3c-4366-beb5-857623bdd9bb,22.0,17.0,12.0,22.0,3.0,298.286,1.0,0.0,1.0,13.0,8.0,0.0,0.0,4.0
7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,5d4e4188-b610-4d2e-8700-dcb301447714,9.0,9.0,13.0,6.0,3.0,143.667,0.0,2.0,0.0,5.0,13.0,0.0,0.0,4.0
7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,63569cff-4c4e-4b1b-a64a-bfc9478c395a,16.0,1.0,15.0,11.0,3.0,187.348,1.0,3.0,1.0,13.0,10.0,1.0,0.0,4.0
7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,bc891482-1682-4659-a686-fda2a77121e0,18.0,1.0,17.0,14.0,3.0,265.15,2.0,2.0,0.0,7.0,13.0,1.0,0.0,4.0
7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,f98b441c-0a8b-4b14-80df-6d5b92626e9a,25.0,9.0,16.0,19.0,3.0,288.708,1.0,1.0,0.0,11.0,13.0,0.0,0.0,4.0
7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,08f5f5dd-bb3f-4dbe-8d3d-977ba0adff3a,16.0,3.0,13.0,14.0,3.0,246.389,6.0,1.0,1.0,13.0,5.0,1.0,0.0,4.0
