id_partida,jugador,mapa,modo,personaje,rol,kills,asistencias,muertes,headshots,compañeros,rango,subrango,composición,acs,fb,fd,racha,rondas_ganadas,rondas_perdidas,fecha,fecha_legible
c81cc3e8-6dd5-48e0-a352-03624b1a6ead,Symiq,Bind,Unrated,Harbor,Controlador,4,9,9,4,"['Bailey', 'ravenbloom', 'Revive me Jett', 'leonor']",Unrated,,"['Iso', 'Reyna', 'Sage', 'Gekko', 'Harbor']",113.267,1,3,1,12,2,1787506452,"Sunday, August 23, 2026 05:34 PM"
5d967956-2492-4566-974c-932b7890629d,Symiq,Corrode,Unrated,KAY/O,Iniciador,9,6,20,3,"['zidalida', 'chocolatinoow', 'KFCV50', 'EloKitty33']",Unrated,,"['Chamber', 'Reyna', 'Brimstone', 'KAY/O', 'Sage']",136.136,0,3,0,9,13,1787492659,"Sunday, August 23, 2026 01:44 PM"
31313e9a-a3d1-412a-82ac-34888a8fcfcd,Symiq,Ascent,Unrated,Deadlock,Centinela,9,10,13,7,"['eskere', 'CarlinhossGC', 'moleco69', 'Rodel 969']",Unrated,,"['KAY/O', 'Skye', 'Deadlock', 'Omen', 'Reyna']",151.053,0,3,1,13,6,1787408699,"Saturday, August 22, 2026 02:24 PM"
85bbfe06-2682-400c-aa31-b7d25bdb0fd9,Symiq,Corrode,Unrated,KAY/O,Iniciador,22,11,17,9,"['N4vR1l', 'elgregorio', 'Dani', 'GreenieLG']",Unrated,,"['Veto', 'Sova', 'Raze', 'Miks', 'KAY/O']",272.0,2,7,2,13,11,1787404166,"Saturday, August 22, 2026 01:09 PM"
4cd673b7-2f08-4291-b2e4-4c551aa7c671,Symiq,Bind,Unrated,KAY/O,Iniciador,28,16,18,18,"['terminator1º2', 'nicocb2501', 'cinabarite', 'JTShirubia']",Unrated,,"['Raze', 'Clove', 'KAY/O', 'Vyse', 'Viper']",324.75,3,2,3,13,11,1787337353,"Friday, August 21, 2026 06:35 PM"
79644a1d-f2c7-40b0-bf6d-e79eb913fa47,Symiq,Split,Unrated,KAY/O,Iniciador,5,11,17,5,"['Esmeraldin999', 'Kodrian3', 'erizofumeta', 'ToyyTox']",Unrated,,"['Yoru', 'Chamber', 'KAY/O', 'Cypher', 'Brimstone']",136.833,1,2,0,5,13,1787587853,"Monday, August 24, 2026 04:10 PM"
b36e768b-e9a5-46ab-bb82-fcbc04a50002,Symiq,Ascent,Unrated,KAY/O,Iniciador,1,1,10,0,"['sssallchichaasss', 'vitii', 'MrzDe4LlyZz', 'Carkzfv']",Unrated,,"['Clove', 'KAY/O', 'Chamber', 'Phoenix', 'Jett']",55.0,1,2,0,1,9,1787590884,"Monday, August 24, 2026 05:01 PM"
ac608b72-66d3-487e-9d72-5b08052f2dcd,Symiq,Sunset,Unrated,Harbor,Controlador,17,8,14,5,"['Zeus', 'Farlopitecus2', 'popey', 'josetee815']",Unrated,,"['Harbor', 'Sova', 'Raze', 'Yoru', 'Sage']",196.19,1,1,1,13,8,1787938834,"Friday, August 28, 2026 05:40 PM"
44022f98-35f6-486c-9470-2d60a0d4fa44,Symiq,Breeze,Unrated,Harbor,Controlador,17,9,18,6,"['martii010', 'Xiela', 'elpitxafloja', 'CondoGirl']",Unrated,,"['Breach', 'Gekko', 'Sova', 'Harbor', 'Jett']",221.522,6,3,2,13,10,1787935326,"Friday, August 28, 2026 04:42 PM"
31c8d5ca-3319-4878-8149-6ffe593f9ee8,Symiq,Bind,Unrated,Harbor,Controlador,12,11,22,10,"['KR CHILI', 'FazeMarco', 'CETM乂', 'Kenito']",Unrated,,"['Raze', 'Sova', 'Reyna', 'Chamber', 'Harbor']",177.08,1,4,3,13,12,1787921838,"Friday, August 28, 2026 12:57 PM"
1e9915f8-d106-4600-acf0-e272a83a5023,Symiq,Abyss,Unrated,Deadlock,Centinela,17,1,19,5,"['alan', '33ikeer', 'Surix', 'ivicrack0']",Unrated,,"['Deadlock', 'Brimstone', 'Jett', 'Fade', 'Chamber']",214.208,1,4,0,11,13,1787919055,"Friday, August 28, 2026 12:10 PM"
5c8e2bac-09f7-4e12-abc0-ed037d50c6e1,Symiq,Pearl,Unrated,Harbor,Controlador,25,9,15,6,"['Imissmyfoidmtb', 'LePtitC0uillon', 'zazou15', 'Dadou']",Unrated,,"['Reyna', 'Harbor', 'Fade', 'Raze', 'Phoenix']",335.571,3,3,0,8,13,1788006016,"Saturday, August 29, 2026 12:20 PM"
f9071454-6f4d-4ef6-8b12-9b26419c8ead,Symiq,Lotus,Competitive,KAY/O,Iniciador,20,11,13,10,"['TheHolano', 'Ricard0', 'reconyk', 'ylianaa33']",Unrated,,"['Clove', 'Jett', 'Reyna', 'Sage', 'KAY/O']",296.3,4,1,1,13,7,1788025011,"Saturday, August 29, 2026 05:36 PM"
84ae54a1-17d4-4658-8846-8a8b0ed4ff54,Symiq,Breeze,Unrated,Harbor,Controlador,10,5,16,5,"['brawler67', 'Catarrozzo', 'THChikieduardo33', 'kebabconsalsa5']",Unrated,,"['Harbor', 'Reyna', 'Sage', 'Chamber', 'Jett']",176.368,1,2,0,6,13,1788101737,"Sunday, August 30, 2026 02:55 PM"
678399ac-d419-4cb0-a754-519c72144edf,Symiq,Abyss,Unrated,Neon,Duelista,8,3,17,2,"['選ばれし者', 'szpak', 'his little toy', 'blackseries93']",Unrated,,"['Yoru', 'Neon', 'Jett', 'Sage', 'Reyna']",115.05,3,4,1,13,7,1788098804,"Sunday, August 30, 2026 02:06 PM"
